id,severity,start_time,end_time,location,city,state,zipcode,country,weather_condition,temperature_f,visibility_mi,precipitation_in,traffic_signal,crossing,junction,stop,railway,created_at
40,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
41,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
42,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
43,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
44,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
45,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
46,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
47,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
48,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
49,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
50,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
51,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
52,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
53,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
54,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
55,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
56,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
57,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
58,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
59,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
60,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
61,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
62,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
63,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
64,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
65,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
66,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
67,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
68,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
69,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
70,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
71,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
72,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
73,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
74,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
75,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
76,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
77,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
78,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
79,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
80,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
81,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
82,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
83,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
84,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
85,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
86,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
87,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
88,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
89,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
90,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
91,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
92,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
93,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
94,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
95,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
96,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
97,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
98,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
99,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
100,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
101,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
102,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
103,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
104,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
105,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
106,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
107,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
108,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
109,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
110,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
111,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
112,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
113,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
114,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
115,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
116,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
117,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
118,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
119,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
120,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
121,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
122,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
123,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
124,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
125,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
126,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
127,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
128,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
129,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
130,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
131,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
132,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
133,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
134,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
135,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
136,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
137,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
138,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
139,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
140,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
141,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
142,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
143,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
144,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
145,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
146,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
147,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
148,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
149,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
150,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
151,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
152,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
153,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
154,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
155,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
156,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
157,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
158,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
159,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
160,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
161,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
162,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
163,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
164,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
165,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
166,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
167,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
168,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
169,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
170,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
171,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
172,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
173,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
174,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
175,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
176,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
177,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
178,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
179,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
180,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
181,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
182,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
183,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
184,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
185,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
186,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
187,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
188,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
189,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
190,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
191,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
192,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
193,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
194,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
195,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
196,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
197,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
198,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
199,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
200,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
201,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
202,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
203,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
204,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
205,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
206,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
207,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
208,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
209,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
210,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
211,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
212,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
213,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
214,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
215,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
216,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
217,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
218,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
219,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
220,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
221,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
222,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
223,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
224,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
225,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
226,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
227,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
228,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
229,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
230,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
231,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
232,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
233,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
234,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
235,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
236,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
237,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
238,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
239,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
240,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
241,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
242,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
243,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
244,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
245,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
246,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
247,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
248,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
249,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
250,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
251,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
252,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
253,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
254,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
255,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
256,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
257,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
258,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
259,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
260,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
261,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
262,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
263,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
264,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
265,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
266,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
267,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
268,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
269,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
270,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
271,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
272,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
273,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
274,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
275,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
276,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
277,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
278,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
279,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
280,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
281,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
282,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
283,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
284,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
285,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
286,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
287,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
288,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
289,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
290,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
291,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
292,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
293,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
294,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
295,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
296,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
297,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
298,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
299,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
300,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
301,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
302,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
303,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
304,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
305,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
306,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
307,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
308,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
309,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
310,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
311,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
312,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
313,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
314,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
315,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
316,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
317,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
318,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
319,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
320,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
321,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
322,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
323,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
324,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
325,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
326,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
327,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
328,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
329,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
330,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
331,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
332,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
333,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
334,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
335,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
336,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
337,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
338,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
339,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
340,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
341,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
342,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
343,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
344,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
345,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
346,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
347,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
348,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
349,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
350,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
351,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
352,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
353,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
354,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
355,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
356,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
357,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
358,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
359,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
360,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
361,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
362,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
363,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
364,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
365,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
366,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
367,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
368,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
369,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
370,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
371,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
372,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
373,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
374,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
375,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
376,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
377,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
378,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
379,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
380,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
381,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
382,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
383,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
384,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
385,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
386,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
387,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
388,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
389,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
390,,,,,,,,Australia,,,,,,,,,,2025-11-03 21:06:44
391,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
392,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
393,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
394,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
395,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
396,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
397,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
398,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
399,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
400,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
