country,year,month,day_of_week,time_of_day,urban_rural,road_type,weather_conditions,visibility_level,number_of_vehicles_involved,speed_limit,driver_age_group,driver_gender,driver_alcohol_level,driver_fatigue,vehicle_condition,pedestrians_involved,cyclists_involved,severity,number_of_injuries,number_of_fatalities,emergency_response_time,traffic_volume,road_condition,accident_cause,insurance_claims,medical_cost,economic_loss,region,population_density,city,weather_condition,temperature_f,visibility_mi,categoria_visibilidad,categoria_temperatura
China,2002,May,Wednesday,Evening,Urban,Main Road,Foggy,173.86444392521244,2,33,18-25,Female,0.1138922550580431,0,Poor,0,2,2,15,3,17.41410577668281,2917.259389663297,Wet,Distracted Driving,2,3747.0571167156095,84944.19077345922,Europe,3138.574707408266,Barranquilla,Neblina,74.29034473374523,1.2508398711634152,Muy Baja (0-2 mi),Cálida (60-80°F)
Russia,2009,July,Monday,Afternoon,Rural,Highway,Foggy,183.33600542812056,3,82,61+,Female,0.131107587588733,1,Moderate,1,2,2,12,0,9.563150211104848,9536.58970675451,Icy,Mechanical Failure,7,38208.728013068816,64241.8626130636,Asia,310.44000014373927,Barranquilla,Lluvia Leve,54.450752809096926,7.074370112043417,Media (5-10 mi),Templada (40-60°F)
UK,2013,April,Wednesday,Afternoon,Rural,Highway,Rainy,145.1652104310262,4,66,<18,Male,0.0146467515845839,0,Poor,0,0,2,16,3,51.17172923210988,9019.035881533808,Dry,Mechanical Failure,4,10654.476560913585,83305.23453322588,Europe,1531.2700175441285,Medellín,Nublado,72.1633459443435,2.940375839323197,Baja (2-5 mi),Cálida (60-80°F)
Canada,2004,December,Wednesday,Morning,Urban,Street,Rainy,110.10652624741932,1,57,61+,Male,0.1009692275445069,1,Good,1,1,2,10,0,20.13185548986264,8767.695369561477,Wet,Mechanical Failure,8,6400.221026771675,17317.69896345926,Asia,4080.562576893092,Cali,Lluvia Fuerte,75.44109116632869,7.673504719115783,Media (5-10 mi),Cálida (60-80°F)
Brazil,2020,October,Monday,Afternoon,Rural,Street,Windy,302.08888889926664,1,82,18-25,Male,0.0919614021789005,1,Poor,1,0,2,3,1,15.081642107603969,1162.157085280117,Snow-covered,Weather,5,10807.004312702073,63180.59122688079,Asia,4016.230946551791,Medellín,Lluvia Leve,64.96240521865892,1.6819611407927293,Muy Baja (0-2 mi),Cálida (60-80°F)
China,2008,January,Monday,Afternoon,Rural,Street,Windy,201.3572670492981,1,37,<18,Male,0.0990357672986154,0,Moderate,0,1,2,1,2,53.00228553794734,4458.475278267507,Icy,Distracted Driving,5,1879.1476944785904,67036.97333107039,Australia,2593.5147386075446,Cartagena,Nublado,58.3804841786512,4.21563673160812,Baja (2-5 mi),Templada (40-60°F)
Japan,2010,February,Saturday,Night,Urban,Street,Rainy,247.27827698613413,1,52,<18,Male,0.2304963451063585,0,Moderate,0,0,2,8,2,27.80540237729007,1597.5954391740363,Snow-covered,Mechanical Failure,7,3526.587485906225,76103.57615981605,Asia,3572.20141795511,Cali,Despejado,77.40053723992416,1.292312764436117,Muy Baja (0-2 mi),Cálida (60-80°F)
USA,2023,October,Wednesday,Night,Rural,Highway,Clear,114.04103647686551,1,61,18-25,Female,0.0433962612620743,1,Good,2,2,2,11,1,9.795661107071222,3626.72895812965,Icy,Weather,4,10775.242511858818,7270.603500152212,South America,2618.63305956876,Medellín,Despejado,86.28936210812122,7.616567511210808,Media (5-10 mi),Muy Cálida (>80°F)
UK,2007,June,Sunday,Night,Urban,Highway,Clear,106.2517539452571,2,83,<18,Female,0.2160771865850174,0,Good,2,2,2,12,0,19.69844779929165,7756.81917279291,Icy,Weather,9,27161.53590892623,12670.84756022038,South America,224.70075659993577,Bogotá,Lluvia Leve,91.25607096863364,4.0294863280605435,Baja (2-5 mi),Muy Cálida (>80°F)
Russia,2024,November,Thursday,Afternoon,Urban,Street,Clear,424.2989301899138,2,96,18-25,Male,0.1626148529287479,1,Moderate,0,2,2,9,3,21.528324281194507,778.5617874755692,Dry,Mechanical Failure,5,37342.08540834247,36795.64855930962,North America,3972.911758674852,Medellín,Despejado,75.55962353920441,1.543631251549538,Muy Baja (0-2 mi),Cálida (60-80°F)
Japan,2008,April,Thursday,Night,Urban,Street,Rainy,378.21004139859537,2,58,18-25,Female,0.0128078100426772,1,Moderate,1,1,2,11,4,29.643857917611392,6903.164250992917,Wet,Drunk Driving,1,38606.47366156439,95979.19678633571,South America,2016.8528481809992,Barranquilla,Lluvia Fuerte,75.2734240117916,5.340364705168463,Media (5-10 mi),Cálida (60-80°F)
USA,2014,October,Sunday,Evening,Rural,Main Road,Foggy,422.8080534351561,3,98,26-40,Male,0.1252199802016301,0,Good,0,1,2,11,1,20.89331930592497,358.44978245870703,Dry,Weather,1,3678.68502416884,58344.55508441151,Europe,2800.382157799202,Cali,Despejado,77.73117290771134,1.3213490507172263,Muy Baja (0-2 mi),Cálida (60-80°F)
USA,2021,May,Saturday,Afternoon,Urban,Main Road,Foggy,464.38398446544034,1,114,26-40,Female,0.1340761317639595,1,Moderate,1,0,2,7,4,9.090028454783464,1156.5628658684482,Icy,Distracted Driving,9,38889.52826098472,98875.37202834943,North America,4685.903849118799,Barranquilla,Lluvia Fuerte,74.06305288759535,3.1170687429282307,Baja (2-5 mi),Cálida (60-80°F)
Germany,2009,November,Sunday,Evening,Urban,Main Road,Snowy,420.5897282090448,4,83,61+,Male,0.1598767610767079,1,Moderate,1,0,2,7,0,35.44328411392076,8577.478249855589,Dry,Distracted Driving,7,20557.19140503096,27672.30234651456,North America,1807.041282502601,Bogotá,Despejado,84.7061183784736,1.1667860401875834,Muy Baja (0-2 mi),Muy Cálida (>80°F)
Canada,2002,August,Wednesday,Morning,Rural,Main Road,Windy,337.69740981102785,4,81,61+,Female,0.0596335600579729,0,Poor,1,1,2,0,4,50.87809552040349,2526.0309964115977,Wet,Speeding,9,39027.10402345512,65932.21671226321,Asia,2216.1815724039484,Cali,Lluvia Fuerte,69.90951896192128,6.177515870394367,Media (5-10 mi),Cálida (60-80°F)
India,2004,April,Tuesday,Morning,Urban,Highway,Clear,496.7530209471114,4,78,61+,Female,0.2491168959353022,1,Poor,1,1,2,9,1,12.94807196518217,7687.10570560766,Wet,Speeding,8,42986.59247622942,83618.58128731628,North America,1542.5890532572648,Barranquilla,Lluvia Leve,92.84834762932265,1.0538730958755202,Muy Baja (0-2 mi),Muy Cálida (>80°F)
Japan,2005,June,Saturday,Evening,Urban,Highway,Windy,256.75552980839745,4,64,26-40,Female,0.0153656181290027,0,Poor,0,1,2,8,2,19.52323375808793,7215.75091527598,Snow-covered,Mechanical Failure,8,20792.38422730021,76716.68780127392,South America,4256.957174381658,Bogotá,Despejado,88.38026577334776,3.6439925064081407,Baja (2-5 mi),Muy Cálida (>80°F)
China,2018,March,Saturday,Afternoon,Rural,Main Road,Clear,353.60823454580725,1,101,26-40,Male,0.1938518367814888,1,Moderate,2,2,2,8,2,31.825647536582625,3980.420608521353,Icy,Speeding,6,21398.021855644725,53283.09109530794,South America,1441.7576243252,Bogotá,Lluvia Fuerte,64.9735747977633,4.354781579557548,Baja (2-5 mi),Cálida (60-80°F)
Canada,2009,April,Saturday,Night,Urban,Highway,Rainy,315.128083443983,3,72,26-40,Female,0.2166595325355168,0,Poor,0,1,2,11,4,54.10329735648414,5022.489062000085,Dry,Weather,8,36061.57146407058,42435.030384294354,Europe,4683.557076932717,Cali,Lluvia Leve,55.766386772079116,2.3103336631044593,Baja (2-5 mi),Templada (40-60°F)
Brazil,2020,February,Saturday,Morning,Urban,Highway,Snowy,113.16055730234618,2,62,18-25,Female,0.2391639163885647,0,Poor,1,0,2,14,2,45.16905894235719,6360.530193185315,Dry,Mechanical Failure,8,7412.1453496481345,62338.68955520279,North America,1774.2823392572016,Barranquilla,Lluvia Fuerte,59.10337609823739,6.9961184405795755,Media (5-10 mi),Templada (40-60°F)
India,2016,March,Monday,Morning,Urban,Highway,Snowy,239.5647963299756,2,97,18-25,Female,0.076637895535569,0,Moderate,2,0,2,19,1,26.971211551507157,1031.353617752084,Wet,Speeding,6,47782.08908329613,38484.24797755006,South America,4366.493576019246,Medellín,Lluvia Fuerte,89.28111549744693,4.444901554098438,Baja (2-5 mi),Muy Cálida (>80°F)
UK,2018,April,Sunday,Morning,Rural,Main Road,Foggy,329.55633796231297,2,50,18-25,Male,0.1789834914919743,1,Moderate,0,1,2,10,2,50.717548949652624,3266.1954472728244,Icy,Drunk Driving,0,30778.345048542687,8678.457121056468,Asia,2167.666880843516,Medellín,Lluvia Fuerte,87.76654100528117,7.877121785669548,Media (5-10 mi),Muy Cálida (>80°F)
Japan,2006,November,Tuesday,Afternoon,Urban,Street,Windy,87.56267041212169,4,84,26-40,Male,0.1038971566411511,0,Good,1,0,2,12,1,54.97466758168922,8576.443112585133,Dry,Weather,6,6519.327832603474,31376.29758866503,Europe,2739.2637837091447,Cartagena,Neblina,73.42634894400074,8.263901127539082,Media (5-10 mi),Cálida (60-80°F)
USA,2013,October,Wednesday,Night,Rural,Main Road,Foggy,250.60328676722776,3,82,<18,Female,0.1807281530726542,1,Moderate,1,2,2,3,3,46.44274228561631,5959.970048312585,Snow-covered,Distracted Driving,5,7228.104027033302,34374.76530376644,Europe,626.3157017415066,Cali,Nublado,59.42094527259352,9.011364540518395,Media (5-10 mi),Templada (40-60°F)
Canada,2020,May,Wednesday,Afternoon,Urban,Highway,Foggy,178.98888790000018,3,45,18-25,Male,0.1786867992223771,1,Moderate,2,2,2,17,3,35.70077570306326,3813.490652660128,Dry,Distracted Driving,7,37361.47799244688,56611.275564210526,Australia,921.9397720044396,Barranquilla,Nublado,69.16933069718348,9.134678909739419,Media (5-10 mi),Cálida (60-80°F)
Australia,2008,February,Thursday,Afternoon,Rural,Street,Foggy,493.9048371946667,2,59,41-60,Male,0.2123708788841981,0,Poor,1,0,2,15,3,8.41201586052895,7388.774356166529,Icy,Distracted Driving,3,40065.02331966368,46284.08951450996,South America,2737.124548603824,Bogotá,Neblina,88.84325145394618,5.778028555855094,Media (5-10 mi),Muy Cálida (>80°F)
Germany,2004,April,Monday,Night,Rural,Street,Foggy,78.26785909035743,4,118,61+,Male,0.1518490326165642,1,Good,0,0,2,16,1,56.0421555822922,9117.406776111431,Snow-covered,Weather,6,46134.13148107085,54678.58418262765,Asia,1296.3504737942033,Bogotá,Nublado,72.94553684591712,0.8121581134250871,Muy Baja (0-2 mi),Cálida (60-80°F)
India,2024,December,Sunday,Afternoon,Urban,Street,Windy,238.85223951594688,2,30,41-60,Male,0.2493416097534645,0,Poor,1,2,2,3,2,41.34187847003069,3305.4990655388087,Icy,Mechanical Failure,9,21932.58973552932,77936.08066033984,Asia,2826.2294433933425,Cartagena,Neblina,75.53925648860846,6.287431750839535,Media (5-10 mi),Cálida (60-80°F)
China,2004,July,Sunday,Evening,Rural,Main Road,Rainy,327.25164755666464,3,57,41-60,Female,0.1913741496517741,0,Moderate,2,2,2,19,1,37.13794427517153,1523.1155017542171,Icy,Drunk Driving,3,32740.91572425909,31092.145986496,South America,4012.462605956227,Barranquilla,Lluvia Fuerte,61.32206506043323,3.962003731613397,Baja (2-5 mi),Cálida (60-80°F)
Japan,2021,May,Monday,Afternoon,Rural,Highway,Snowy,366.7958576258268,2,93,<18,Male,0.0407808835105359,0,Good,1,1,2,4,4,22.194408884449995,2795.6021032911226,Wet,Drunk Driving,7,29747.674267153423,44162.22321911292,South America,2715.6283722637977,Barranquilla,Lluvia Leve,83.5985844302253,7.60199497769447,Media (5-10 mi),Muy Cálida (>80°F)
Canada,2022,September,Thursday,Afternoon,Urban,Main Road,Foggy,71.61287512300166,3,30,41-60,Female,0.1329106886235481,0,Good,0,2,2,8,3,31.94903646525217,8474.344109088037,Icy,Speeding,0,33890.90974921152,32280.57397197237,Australia,2543.804950564916,Medellín,Lluvia Fuerte,73.01407280204133,3.514686351453382,Baja (2-5 mi),Cálida (60-80°F)
Canada,2003,November,Tuesday,Evening,Rural,Main Road,Rainy,67.6908734104397,4,110,26-40,Female,0.0889273357065969,1,Poor,2,0,2,8,0,19.611582627239635,7736.10407761147,Snow-covered,Mechanical Failure,8,24879.84851806202,56441.57089181059,Europe,4083.483879167155,Medellín,Nublado,51.81142530002976,7.7868758049843265,Media (5-10 mi),Templada (40-60°F)
Russia,2014,December,Thursday,Morning,Urban,Street,Snowy,115.57744772343962,3,72,18-25,Male,0.0991884477899452,1,Good,0,2,2,7,3,27.103731675070133,3859.223533207549,Dry,Weather,8,9518.780036261162,82204.96607708905,Australia,3219.6230069338835,Barranquilla,Lluvia Fuerte,94.27099918215092,4.388931063410744,Baja (2-5 mi),Muy Cálida (>80°F)
Australia,2023,September,Tuesday,Evening,Urban,Street,Clear,485.5019320523333,1,59,26-40,Male,0.1967466953734479,0,Poor,2,0,2,9,1,41.64699525961999,3928.995962255661,Wet,Weather,5,23344.025692551822,64984.92008453507,North America,1667.5945039132891,Cartagena,Nublado,93.73540899735087,3.2060667266168377,Baja (2-5 mi),Muy Cálida (>80°F)
UK,2017,December,Tuesday,Morning,Rural,Highway,Clear,178.99178945676698,1,110,18-25,Female,0.0267115202461969,0,Moderate,1,0,2,8,2,56.79471586337953,7028.921228407909,Dry,Mechanical Failure,4,24319.66751969566,92788.4401127284,South America,889.7473596886099,Cartagena,Despejado,51.72339929093225,3.1391972652083178,Baja (2-5 mi),Templada (40-60°F)
UK,2011,April,Sunday,Night,Urban,Main Road,Snowy,293.5752651740943,4,65,26-40,Male,0.0864483508906451,0,Poor,0,1,2,12,2,33.65241302864226,8260.980759111848,Icy,Weather,3,35865.890671051195,9117.443526504216,North America,2008.0621167841016,Bogotá,Despejado,81.99112513127272,8.149390612817303,Media (5-10 mi),Muy Cálida (>80°F)
Canada,2016,March,Saturday,Afternoon,Rural,Street,Rainy,381.5561358514093,1,116,<18,Female,0.0017268295107535,1,Poor,0,2,2,17,1,10.449689120035496,5269.922446875296,Dry,Distracted Driving,3,47103.17670327481,75012.56328388024,Asia,4200.029636414025,Medellín,Lluvia Fuerte,82.56283346985353,5.926321389695523,Media (5-10 mi),Muy Cálida (>80°F)
Brazil,2017,November,Wednesday,Evening,Urban,Main Road,Foggy,403.8199075371006,3,35,18-25,Male,0.2210320825842808,1,Moderate,1,1,2,11,4,49.53936498239505,3581.227052237444,Snow-covered,Distracted Driving,1,28673.105811816124,4535.974209729371,Europe,3425.7428728904088,Medellín,Despejado,72.17508594126525,1.5138401116221618,Muy Baja (0-2 mi),Cálida (60-80°F)
UK,2003,January,Sunday,Evening,Rural,Street,Clear,75.00072512053603,3,38,41-60,Male,0.0680098403410036,0,Moderate,1,0,2,10,3,33.39802441686308,3054.015006222159,Icy,Distracted Driving,2,20665.44383472982,29139.795935377533,Asia,374.1747457094944,Bogotá,Neblina,90.10919792264129,6.76248785201246,Media (5-10 mi),Muy Cálida (>80°F)
Germany,2020,May,Tuesday,Afternoon,Rural,Highway,Clear,362.1036724347909,4,75,41-60,Male,0.0889251770363303,1,Moderate,2,2,2,0,3,40.0735825545252,388.7087200607649,Snow-covered,Speeding,0,49757.285169572206,2707.423489406931,Europe,4741.146234067545,Bogotá,Neblina,58.90142103165376,3.1036756238256022,Baja (2-5 mi),Templada (40-60°F)
Japan,2009,August,Friday,Morning,Rural,Highway,Foggy,241.68159575485876,1,112,61+,Male,0.2242426144000093,1,Poor,2,0,2,6,2,7.92126339036955,7605.636505204965,Dry,Speeding,7,15913.764905742117,8115.415945465824,Australia,844.4442404212434,Cali,Despejado,86.2880253794684,8.18088694535033,Media (5-10 mi),Muy Cálida (>80°F)
Russia,2024,January,Sunday,Evening,Urban,Highway,Foggy,469.170433689115,2,104,18-25,Female,0.1276579331294818,0,Good,2,2,2,2,3,23.582252439909038,9625.184024614056,Snow-covered,Weather,4,8817.664438177435,73064.53014032672,South America,44.528111726064765,Medellín,Nublado,76.86654710194436,8.751858456089463,Media (5-10 mi),Cálida (60-80°F)
USA,2017,January,Saturday,Morning,Urban,Street,Clear,426.6670680631376,1,72,41-60,Female,0.2202819338873534,0,Poor,2,1,2,13,4,48.04409382433815,8177.455616076271,Dry,Weather,3,41486.79256378773,24218.061230104933,Australia,1868.84818612246,Cartagena,Neblina,63.865454941006824,1.8689677421110191,Muy Baja (0-2 mi),Cálida (60-80°F)
Brazil,2017,May,Wednesday,Evening,Rural,Highway,Windy,485.6935073535278,2,36,61+,Male,0.1584204792106398,0,Poor,1,2,2,16,3,42.18688297859172,8416.283741615225,Dry,Distracted Driving,0,29396.30796299351,15057.223289879365,South America,4996.125165959712,Cali,Nublado,82.25935996284,3.3757497755026864,Baja (2-5 mi),Muy Cálida (>80°F)
Australia,2012,July,Wednesday,Afternoon,Urban,Street,Clear,496.0487534683938,2,30,18-25,Male,0.0658965637171918,0,Moderate,1,1,2,8,1,31.891190152149434,6216.426164165798,Dry,Mechanical Failure,4,37433.93967688022,83058.61060841197,North America,3147.958875917122,Medellín,Lluvia Fuerte,69.64849163048284,4.048507043274274,Baja (2-5 mi),Cálida (60-80°F)
Germany,2003,July,Friday,Morning,Urban,Main Road,Snowy,472.802638697252,3,113,41-60,Male,0.2394909093244099,0,Moderate,1,2,2,7,1,12.58296481399033,8259.91214745528,Dry,Speeding,4,29125.3377294435,17612.784785412758,North America,1743.274808704743,Cartagena,Lluvia Leve,57.498304215727295,7.606084986139871,Media (5-10 mi),Templada (40-60°F)
Australia,2018,July,Sunday,Afternoon,Rural,Street,Rainy,495.151999363273,1,35,41-60,Male,0.0771874446875296,1,Poor,1,1,2,2,1,40.73946487082895,7544.529765084061,Snow-covered,Distracted Driving,6,16005.444813047669,1011.1757317416266,South America,4014.389711409986,Cali,Despejado,77.89291197525448,7.889553188203072,Media (5-10 mi),Cálida (60-80°F)
Japan,2010,April,Sunday,Night,Urban,Street,Rainy,423.4318956164304,4,49,41-60,Male,0.2443203092019798,1,Good,0,2,2,5,2,52.15954920024767,4580.932745830078,Snow-covered,Drunk Driving,1,31250.81590123032,43562.80897478252,Europe,2832.7035411345723,Cali,Lluvia Fuerte,71.11458987322064,8.367081151220518,Media (5-10 mi),Cálida (60-80°F)
Germany,2020,July,Saturday,Morning,Rural,Main Road,Clear,145.168028819188,3,45,18-25,Female,0.1703226683578703,1,Moderate,2,0,2,9,1,32.891855879429954,1134.334178814955,Snow-covered,Speeding,2,15701.992171737247,65390.0996352555,Asia,4512.312464514386,Bogotá,Despejado,94.0968184034692,2.2799326496086856,Baja (2-5 mi),Muy Cálida (>80°F)
UK,2002,September,Monday,Afternoon,Rural,Highway,Foggy,166.96965524879693,4,58,18-25,Male,0.2442718015502368,1,Poor,0,0,2,17,4,37.998715929550826,617.5754688567047,Dry,Speeding,2,31314.04831799446,87880.31141843299,Australia,2526.6290507401086,Barranquilla,Lluvia Fuerte,77.99807602830901,5.484731987259609,Media (5-10 mi),Cálida (60-80°F)
Canada,2022,November,Tuesday,Night,Rural,Main Road,Rainy,357.4067963143005,3,64,26-40,Male,0.1135108662028464,1,Good,1,0,2,2,3,33.088052411001,4379.7669530328985,Wet,Speeding,6,8162.243868958351,5351.62808456394,South America,2605.212239736548,Medellín,Nublado,73.06148939578786,6.181597765573556,Media (5-10 mi),Cálida (60-80°F)
China,2020,September,Friday,Afternoon,Rural,Main Road,Clear,357.25026162705694,3,115,41-60,Male,0.0353684408268275,1,Moderate,0,1,2,12,0,43.83985356529005,8050.81430849239,Icy,Speeding,3,36131.81786039286,91586.08717812582,South America,1448.1288004951768,Medellín,Nublado,71.17410247831431,3.787834746234213,Baja (2-5 mi),Cálida (60-80°F)
Russia,2016,October,Monday,Evening,Rural,Highway,Snowy,187.18764121024475,2,43,26-40,Female,0.1968862892611755,0,Poor,1,1,2,6,4,27.362117980079272,8898.805544892833,Dry,Distracted Driving,9,47510.54972749444,3022.109820498488,Europe,4679.451062550053,Medellín,Nublado,73.9600222866144,8.075558146993949,Media (5-10 mi),Cálida (60-80°F)
India,2022,September,Thursday,Afternoon,Rural,Street,Foggy,372.9213606757552,2,44,41-60,Female,0.0088511208429711,1,Good,0,2,2,8,3,37.10589486465689,1320.9628949256046,Icy,Weather,3,47484.97495980509,2166.387066823224,North America,2318.237342129449,Barranquilla,Lluvia Fuerte,80.73089909892748,0.8192594709424547,Muy Baja (0-2 mi),Muy Cálida (>80°F)
India,2023,July,Tuesday,Night,Rural,Main Road,Foggy,465.82928334055913,3,43,61+,Female,0.0644514564736792,1,Poor,1,2,2,11,3,17.047432584906737,9230.28341206096,Icy,Drunk Driving,4,35591.676534451704,27506.961117474013,Australia,2963.070073259466,Medellín,Lluvia Fuerte,53.44497910920154,1.4159724392839417,Muy Baja (0-2 mi),Templada (40-60°F)
